<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCTA.US,D,20251021,000000,4.59,8.21,4.3,7,4218742,0
MCTA.US,D,20251022,000000,5.34,6.96,5.34,6.2,792529,0
MCTA.US,D,20251023,000000,6.258,7,5.97,7,143018,0
MCTA.US,D,20251024,000000,7.11,8.4499,7.08,7.41,570425,0
MCTA.US,D,20251027,000000,7.9,9.67,7.65,9.67,357880,0
MCTA.US,D,20251028,000000,9.6,14.42,9.2,14.21,1049482,0
MCTA.US,D,20251029,000000,14.17,20.8,13.0701,19.14,643963,0
MCTA.US,D,20251030,000000,19.12,31.24,18.5,27.76,752396,0
MCTA.US,D,20251031,000000,27.8,28,22.96,23.5,564730,0
