<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OEI.US,D,20251022,000000,25.03,25.08,24.86,24.935,302892,0
OEI.US,D,20251023,000000,24.98,25.09,24.97,25.0575,244307,0
OEI.US,D,20251024,000000,25.29,25.3491,25.2699,25.2699,499404,0
OEI.US,D,20251027,000000,25.54,25.5996,25.485,25.5996,7400,0
OEI.US,D,20251028,000000,25.68,25.73,25.6,25.6876,4328,0
OEI.US,D,20251029,000000,25.76,25.76,25.62,25.6963,7873,0
OEI.US,D,20251030,000000,25.7,25.71,25.5362,25.5362,11827,0
OEI.US,D,20251031,000000,25.64,25.64,25.54,25.59,2192,0
