<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DGOC.US,D,20251021,000000,30.741,30.741,30.7216,30.7216,150,0
DGOC.US,D,20251022,000000,30.66,30.66,30.6413,30.6413,100,0
DGOC.US,D,20251023,000000,30.785,30.785,30.74,30.74,1800,0
DGOC.US,D,20251024,000000,30.845,30.845,30.79,30.8176,1560,0
DGOC.US,D,20251027,000000,30.92,30.9224,30.86,30.9098,4534,0
DGOC.US,D,20251028,000000,30.84,30.8558,30.84,30.8558,100,0
DGOC.US,D,20251029,000000,30.84,30.88,30.84,30.8431,1650,0
DGOC.US,D,20251030,000000,30.83,30.83,30.7511,30.7511,3951,0
DGOC.US,D,20251031,000000,30.75,30.7545,30.74,30.74,2167,0
